transaction_id,input_addresses,input_values,output_addresses,output_values
0cabdce1193e3f08af38d2c238a79865d2b1a90ed7349595338db380d5e16841,1c1bSgPbAocbTX7jz61zF4XUbpqCUrQVo,1830627,1ndCGPtzTUrmh1UX7aDno9RJ67eKX6fG9p;1dc1ZLkuYWvLwNCwkEgas4PVXXttW8tLvn,897776;924439
6bbdfcc3ce483d2ae69c06bf83dd32c77013475b422f933fdd0e791cd610193f,1Hf2heRtfsSJpqSK5EibsSBD57AZekXWm,2403478,1iEPJPLHN12Spwsp92EajztnKcAH3d6yYp;1F7oYMkjAZCPSFgdpeNSV1vJAsUMdyc1E,982020;1414176
162b69567e5a0fbed088297a76e0476a6b42088f8b0b7d3b810fa10cd5c1e4ec,17agmxS67b9gS1rYUopfzWjcGLCM1WJQi,1331145,1cetkU14UU3RVo6UVz9Mu64aswPSNGomE;1urWR4XbZTnm6p9J9iTGnE2xkzsGtMxQzV,568874;759020
472e0e5c1413a0d43811aafd3d55a70d2c83240ee8e1e5778555f871af4c43a6,1L9PPAJXTfVcRbnaD3ocqpZZnprD7yXHbd,2303918,1YxtXJCSPkT9WHu2nD9Ec9RW7DAo7ZfgD;1Wiwa2uQfRTRA99qbTqmD7U4gmEMUzSAF,662544;1633562
0c927fd68bc844bc3e9fe01a683f2c634f6aef20b91b8a9fe296c683b0b99ed3,1Qwaa35fZKGfKG8eTvw1dZ6YW8M4FHSYJ;1Q4uZiDVte99kYkRaMz9Vkr9AgbPbUFZwg;1Q4uZiDVte99kYkRaMz9Vkr9AgbPbUFZwg,876879;739867;746944,1Qwaa35fZKGfKG8eTvw1dZ6YW8M4FHSYJ;12GDjgt6R2DW2CeYDbo1ohLAxL66rcojY;12GDjgt6R2DW2CeYDbo1ohLAxL66rcojY,643526;754067;964063
fc503741a5e33ab37f083ce04ada93543414ca0f9288104b153bd5d7b5083a58,1yoHcN32goLbJ563qo8KZ77EzqX3AASmU,1270257,1Mgxtkt6rLZmNimMQrsy3brsVDT9iTMFB;1RT4qfsEvmWGBseqS3PFtDPu6vfUT4XHQ,616703;644035
bbcd7ac2718227b29270be158458fd4be85fe3773cb9ff86e5cde3aa0f5a0380,1DHkM9tzoShj1mrTH6ABdT5wxsLp7Spfv,4821988,1GAg55zydXtmqv2ETiiLCjrWy6CwdgmZuf;1PK7W1i6wyuEsNe98eAG43aAq2Rx6fQrc,1805804;3009778
0228f397d1c7557066cc8d868d423605145a057e52e615a3dc83ea297a7c5859,1PPrDRXd2BsmH4bhGETA17jZ2LAFE6MX3,4371666,1kh93ijVyTgj8jWsm9F7WJNj6vjjuwmE3c;1eYVZ9rWLqVfGyUs2dPCF1GHBGURJ7u8Az,2418849;1950121
39e483e039336042f06e29c205bcb64c4b3f35fdf5d3e6d882f9364acf5f7921,1Kp3btvRJs6R1UwNUExMNv6HAJpkbe4a2K,3730500,1JQVtjXEgPt8As4jQSaDJBLifP26NMQ1B;19ArrrtTgS7pmaKUHGPc6d6cs2eEw4tHw3,2332096;1393909
3cd62001106362ba65892f86f8af63b843eaa069632d88c67e4417bb3a79c73f,1979GXJXSC9mcn9jHwociZTaCx7EDNJFoM,8091037,1MS3vRzrYhQ4hVjbrvpSmpNZgNa6EoHsN;196a25ESim3LxWXigvq3Sf1xJY9JkPdoa,7127225;961190
72fc34182c815c4bb6036c39be87f2f64ba893d96d6cd60692058d271c76e1da,1rJHXYeZxovAnPt7CuGW6jnXmGuDgzvkX;1jkSCv6pafCxBjsieDkXz4WBjasF9Gs2p;1DuXsbY3Ttu8qk7RXib9Z5BBLD4UfMpbPD;1frma1F1xAVmNYw91eUTHW8gNkpPM2gTf,601364;717054;719340;830882,1nVvkXELq5ij84PF2DY7TnHNcshSu5pvU;1y51uW9YanPKJx94iqGEuU2a6BPe9KRgV,2276953;587647
7a3f4713b3d6a3827c59738f7211493d9f831b37b300fa450d02c7346ab7a370,1hTgtT1EevnW5rNtpF2FLKN2qpESJ62Sf,4885480,1XeDj51cqeobby9egcbdgXcm3faF8y56r;1EcwJUBRAo7kdvmZqky117LXk7b6nQoS84,2436863;2445279
