transaction_id,input_addresses,input_values,output_addresses,output_values
c8ff33f5f8100652c8a5eaee318142cb3f8af9600e82956e06c0c2cd625377ac,1MAHVDAwGc7EH6ZWAb3tYCVpNHwRS8Tviv;17tV68HfyokD5ALTjf5gt36hXCZqdxdFbs;1DCUVBV8d6WiDSVci3gcdEMXxsqsfVdbYJ,491772;803075;845374,1DxumRSFRBxfMQ8tqsbg2GDrQZKgQoRG4V;1Dd3SDsYn7yc8Yx2NnLMm43DYzqPiHANQZ,1963995;174819
0d9454399cbed01f6b6954b7346a17badc71b0b4cf6bd3e5afeafb432b01b4e8,1bwpeSCfoH2bWEA3E1AznMPaXj46HqvMxH,4545759,1cCvaGQ75JwoxspahyZmkxTTb274dzgEKx;1W1qF6gp5wUMtGwguVCjsCCFcA7vgfcmY3,2293708;2248509
b62a79bf9934fd0590d84d97f7a4a708fd68abcb3ec8f8b7fb136d360a28ba6e,1j6eL8rSRmFoLW5NkMf9kREoQQTroM291o;1w5KyA4mfeu4difXJQgZJku1HXvhSCYneh;1tnQCJ3Ljj8zH6ZXkA2obEmjz74NdM3e8J;1jTzozZtdXbMHnigiXFLapM6iq54tUSNXb;1XPGVRSwVyp98i8hs7DUkwNxbQ8a39NzJV,174904;174522;409132;321122;125507,1ttDpV8MsRaZunUicmWTTTsKofQEPYxtje,1200350
03047b60582e085615e90f31688e2dd594bb1ba18d0ace7e4360c3fe90d90209,1qmoASQgESHkTXJoUqNwzTHPXypo9FesZ6,3631487,1rrHmGu9SwDTM24WEzN2vqen8Hqh9hT15F;1qYjX7HJ3RoT7ub1WF9RcERf5y4XWzZPUd,1742438;1884988
d1bf5235ba09f1b48a78379846205f1afa1a7b9c19daefb9fb647c28eecde29f,1rzMPnpj1viZMnapnET9CwYYPm8rG5kA9U,571785,148cUZHAcSi5RbQ8rXw7KxAsd1hs241Nux;1ZmTRndNbnMHqwFq8oT1347n8DojQETHwV,100765;467151
ede3f2c9308cc4994e084d4b0f30f9af55ea4acda66c61760ffb96b4af8762a0,1i3CYFsruytTiu4RwW2bh83ZohjQgsyAkP;1i3CYFsruytTiu4RwW2bh83ZohjQgsyAkP,504601;510160,1i3CYFsruytTiu4RwW2bh83ZohjQgsyAkP;1i3CYFsruytTiu4RwW2bh83ZohjQgsyAkP,507380;507381
01ca3e761243855c65df8f366cb89d4bf9dd56ea0e9d92395b4c685fbb9b33f4,15h8GC6ieUoSwvFCrix6obACiSSbGK7PCM;1upTtxFQcsxXQ7oRBFDN9K1giDZKE4HDDZ;1iwofaegSpC3V3G7TbbE22na1T8y3XXL1U,230930;427496;543450,1qRJKM5mV3JzVeuqw6Dp9zrjE6ippY1g4t;133JGgnPhva7K9artdfXEUVHmU6miMqFer,1153653;46323
b6b00c21260b4c617caa53e43337ea2265fc39c58a907229fb03a6c88f92d344,1Ptbr8W6N1Exygk9AZZs9jw3mEGEfXnPvt,2025754,13e6ydGkaaNNbu5FyDQpMnt1tSEWH9Abpf;1RL7gUbeQF8b8Wt9AvWQydsjpwDcUUDQ9a,1328735;693318
6a4171271edf8cd7ba11bf20cb2c301144baa4ff53e0959a45534e260a3659a2,1MYKoaBjseCnqBeVFVGZY9cFypz1BwvTza,7763840,1HZC3RybUP7BMo4rHYGnvgCtZ1LdHREcaG;1Zq9ZKDopCcx6jyGV6rDTABD7EJabPD65i,6987456;772575
9bfd9b223f5ef2d878a1990e0b1dfd3c273095919e2f6743ce74b92c67cdb501,1GVaMeTdq3qPYDhMpoDhWqo6mFU27fB9bN;1Nb2hds1RLe6uJUB2oTaSQqFNLgJysmuWR;1mxQ2WvtxwCyk8LxyJmoTA19tJ5EC6FgrN,385715;471952;509258,1ULUghufqhm68m8mupjRP5VjbDcmNLpckv;1e9BDSLeRHPp3xRAgqT5g6so1KaPTVxQmJ,988404;375721
56e770d6e6a445533d486b0ec6cc43433f1abc1e26f0ff656436c5a9d2c235c1,1Tn7eeujKe8YxWFYPdazXntmbJzUhq7qgF,99655004,114XTP32qbsvgi8YpBP64juHKFwbknHnmY;1Tn7eeujKe8YxWFYPdazXntmbJzUhq7qgF,284265;99366098
8dea984221b4b546386ff092f38d58fb48144c8d17fe95bd4ff479078887eb3f,1x7KtjmtRQSwtwGn7BmcGZEEgMgUWciNrV,2597842,18C2m1GQkzk4vzsVKTFQ3jPKckbXsnXTp3;1zXPjZWd3HQJqTRc4W9qTi7nwh8QTBbiCT,1205764;1388245
fd3447bb603f56509dcd01477a10cf075b61c6d7d4d641ba1391f3978fc6ba6e,1hjt9bsHhpNcfUQBzxp1M3oKScQc5Rwvzr;1hjt9bsHhpNcfUQBzxp1M3oKScQc5Rwvzr,352667;684973,1hjt9bsHhpNcfUQBzxp1M3oKScQc5Rwvzr;1hjt9bsHhpNcfUQBzxp1M3oKScQc5Rwvzr,518820;518820
