transaction_id,input_addresses,input_values,output_addresses,output_values
61e2c93bb0765a7af197778d7d63bec2d3877d867a1ae6051b53b70a9cad4146,bc1qh8yrh3jpz8n3kkdwgmc9dgxcrvttgpwrazf5ut,4392359,bc1qkp8fz8rg5ttxga5n9h9vl5346c8p2gx7u25vaw;bc1qyh3hdjtly0cmy94nvnwg374rucc2f9qhhlcsr5;3vcnaXVVAu7nZNeey5JPYw8EWawBXVKGHp,332170;117200;3939191
1151cf5a3eeaf7254f04896c611240521ed2b906178d87588022ef2ce1f1f24a,1sf42yA1H442kvhuxHTzftp6EmpS4DD4JN,25293543,bc1q8xwdg8awm3pl6lam90xvpvlgewd7l3kyf7j3hp;1tVw4vR44RpWzz35EyjgEjg8DsVW1Cy6xv,16748544;8539918
05a737fb31fa4d637f93bb18c8fc5abc09ae8c56e6882fa3879fd940dd12477a,bc1qut96knl5q6f47yrr3gnkx5g0umzdgqc5gh3dqz,383555,3UxQz98iUNRUdf6MTpB9VSYPT2JkVNSPgM;bc1qvp0xat6m84vgzcts462qugjlpntedlruxpdse4,237793;144737
3bbff9e81100b6277183c47e03a8a2921b8e65c7bbab5aa6aa96eed101c32bff,bc1qtz422mhffdvfyd74unf3qfdj5wwx0ue9zs526c,189441,3jN93ZBLsTzHop9FTRTMdNGsyV88swyjKr;bc1pudaw9mwc6gc08wk82uzyvyxd2wp6vc7quj07fvu63heu0g0v4eh6al3aj4,81021;108129
4ec08fe076c5789b1818cfd24a7d0c225ace52e55a6044b1a43da3e20bfb2068,bc1q9g2w2ug7d60hp78z7pq86n80r7wgtn7kc9fjaj;bc1qvkzk5rcmnrletdts2m6r756kdh7ge30dhgm6zu,201032282;2645752,bc1qcj42020tggnu3sx8d380kwqfv84t3tl3twf8h2;bc1p3c9x0hlsfrx89q3gl3kym0mj0w9p706vz5pyjflrcne8swwmlfnnh7xx49,169692017;33919290
2349f61d18dabb24cd2f7e690085fe03666219d09df44696e2aa14bf3220b105,bc1qdk0pffmz8gejexr8ygypen6awwfvg3wnuhnq84,361755,1A2LPzLbwrhZrPYtpj7apuEpL36f7LSP1S;bc1qdxtc5cx3awkrln8933zlawr60ksg6l83vasumg;bc1q2egqh6j4mw02cvaml8vmd20avle5y7y72rmraq,150041;33664;176800
90ee4791a216aa0774d965273a488cac72e0c4caffb593b67086c71b7e621bd4,bc1qzegnvz24375u03n84f8zlckr9fq2ptd8d499nv,671059,3eU9sff1NUFarmADqfRcouezzZiYEgyFK3;3KQULeNdcfKLF86C3M2n8UjqcMSnvgaVWY;bc1qh2r7y7mhl7eteq3w44j67r8qu3a8z6afdy7f0r,331801;114101;224237
0f483044bae5abbd57253680126354d755e424e4a5b81d96382e5060d3179016,bc1qt7k3jhu56n7gkxw8tltu5pg776zx5lp2lex63j,5266798,bc1q2yuqmyyg94qqe829phsh0csrs7pemsw7p0v40a;bc1qu2yynjkvnfsder5u3mdud6vh22g740zzdhtyp7,4342609;921378
9e6ee15596ffd18234e2332da20b147168283bab8b6912ec30e349a5bac5c26b,bc1qt4cmh7ntjx48rmtcjeml6n5qa6g9kf2qmjvy5q,1694226,bc1psvw9f27nuycpzwdndxstr4jsf8lpx7ccfr0dy3834tvhdwz2dv5fv797wk;bc1qzm8jsvf229srsuth668yxnc59c0ccwaj5nm5yz,1353389;338414
ab6fcdab2725972acd0fd260692041972f68e9a830efd3e1602837cfbe0e9a35,bc1qjtzwptf5lznvj7hpajxns7we6lz5pklsntavc4,2299421,bc1qe5zr4fh4am2jyt7kvn7fve646h4s5dtt9x708y;bc1qfes3hs4unny9knuhpthlnce887eux4jwccsd9x,1713455;584896
b36b9d63ef8337bc5ca7a3340284fba6125252b4ffc9092ed6fb523dee2de22a,bc1q5m3rmmfcguyd78wtqps8ltqa65eyf6kykwqzg6,556729,1WBqMe8eDC4QuxCzHh1mzbEwmXxMv2S3on,554449
47aef3776491291aadac6cb72cfab9b2b6109011dd49141ac45115a5e0b6613f,bc1qth5ch2p369cwk5ezcwfpxpasl3gcxtcm2rtuhu;bc1q29ktegzddl9fr2fwk9wwhand5ep4vsh9qm4wy8,794658;345602,3noyBFXnLzwpDf7JuoyggrZhVu8RsUr6FR;bc1q4k3ff9kk9t8le80tjwlyuzvk0ddjy2zwsy63jc,764268;375230
f51b3168bbda525f0e25d325a326cd017d985e32a759d9f36fd5101e377c4c5a,bc1q6sf9a87sfzx7g5nz5jj9nu2apmz7cgxjnqu35f,131574,bc1qe4fzpw0xn2khmlyt32wg8rfvn8m92j2c0s0fq7,131091
64d8b9e9b21a0b809c54de9c637025af8c3f96d381265bd700fbad14dc53471e,bc1qjpfn64fqrygtvpp3tfvw36nnyrtl3tynvppkes;bc1qns2n9lhf263kf6t4ljehkq07ecjhj95n6y4p7r,109928;2478767,bc1qwddxsn0mhks3l0v7w334m4eg07gf7lckk003ah;bc1qr4vl67effktwg0x3akynj84s5pdkrcq3adau0x,924645;1654140
7a8a320420cf089c6425e906291bd14c868da38cb7d2f37d4aba6a408ea11182,34LDeJR3VqQW3QMbKSh3iAVksDwT8vgNkJ,330962,3fbJMyKbRUPv6Eb9jfgeKXiH1DG47ipvTG;bc1qk57t870wltkace6c4nesstar6ux39mw4k0uwpy,60771;269464
dbb859bde4d547defeef89c2b114171279eb7c98a810b4157f85d23f1ae3ae75,1sNHoPKz3k4ZW5W2pLLYDqZoSUnFExDmbx,1444857,18YQKYsHqnes9bSL2EBWTe4ArESf3rxKM9;bc1q8ajjc68ulsdg3jh943pt5vskdf9388mywpddsv,506015;932272
e878124f17c5408d0835dbd64bbaf105214d1d55ac5460c47f48007895b9b8cf,bc1qamzhxg4nmxch30m27qa7rl08nxa3cv3tgs0rl0;bc1qatdj8ygajdy2v6054g67509e9h0a35ppm74cd6,22580;786758,bc1qzyxwp5aa4q3dqh3fskd79as8ngtez7w8kf6zl5;bc1qzv3pq90dejmrspxmu0pzaujpa27jckvz986vu2,498588;310029
30b5293aeaf5993654cd83cb0aaa3c63418034a6ee051278560c87aa3e7f8ed1,3JvY4rQkLXpL2gZumWrFE5BNH59HCJj71i,512093,bc1qcrzd3srz3nemqdch3l8s49ggy9gfet7h0nwyqv;3oSrqPDAiAGtbpjJCYMjhMnWcZbL2JWdNQ,43210;466815
15b79d594c691188b10215ca71bc2806e4852c0fac73f1301f1d448ce079d062,bc1q4yfgydvwnj3amdp7kenar849nj5572err8h3k8,647855,bc1qvcjstqrd7r7yfwx00wk2ferm549l899378v95d;bc1qhuwdqxgkeje3txr4072vvrtw94eaj428rtyvnj,205314;442126
1c8d2132ec7a8b4bc3925e73b45bb490618a4382d16e4c94ad5c23864e2296fa,1GDZyu9js4m18PXvuFqQu52LhgxasKLx77;bc1p3l3ccwxdh58mpgmzmrexhkmndne6ej3n9lfj7su6ycdpg5kyy286vy55vz,4621597;1214966,bc1pzsgat72qchhw4tz3xdxg62jj024prewrmwq7xky59ag5gtu9vfk85kq0y8;3r1k7RGte6N6nioPSDF4yBamdKVBrdU98J,3861205;1962836
db22874c60c7206c2ed37c527ce590c7dbeb8d6010f8c98ecc05eff170f3cf8c,bc1q858nhf7qmuxnxv5ee8v85zuqt2v6d390lzjqxa,752251,bc1qs5sdkz3ngfsxe3v564zkhmpzdwnfhhrkk97seh;bc1qthmhru2dsgl50spm99cu4rhqmqpta97pek588a;bc1qgztsu9el7zwfm23qxjfnwj0cxuc8qd8t6u7q4m,229116;380294;141574
